Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
Haringey,E09000014,Upper tier local authority,16/04/2020,3,483
Harrow,E09000015,Upper tier local authority,16/04/2020,7,747
Havering,E09000016,Upper tier local authority,16/04/2020,9,538
"Herefordshire, County of",E06000019,Upper tier local authority,16/04/2020,3,134
Hertfordshire,E10000015,Upper tier local authority,16/04/2020,7,1752
Hillingdon,E09000017,Upper tier local authority,16/04/2020,2,587
Hounslow,E09000018,Upper tier local authority,16/04/2020,4,546
Isle of Wight,E06000046,Upper tier local authority,16/04/2020,7,67
Islington,E09000019,Upper tier local authority,16/04/2020,3,361
Kensington and Chelsea,E09000020,Upper tier local authority,16/04/2020,3,397
Kent,E10000016,Upper tier local authority,16/04/2020,23,2193
"Kingston upon Hull, City of",E06000010,Upper tier local authority,16/04/2020,4,225
Kingston upon Thames,E09000021,Upper tier local authority,16/04/2020,3,351
Kirklees,E08000034,Upper tier local authority,16/04/2020,10,408
Knowsley,E08000011,Upper tier local authority,16/04/2020,2,362
Lambeth,E09000022,Upper tier local authority,16/04/2020,4,998
Lancashire,E10000017,Upper tier local authority,16/04/2020,3,1917
Leeds,E08000035,Upper tier local authority,16/04/2020,18,840
Leicester,E06000016,Upper tier local authority,16/04/2020,7,454
Leicestershire,E10000018,Upper tier local authority,16/04/2020,16,633
Lewisham,E09000023,Upper tier local authority,16/04/2020,9,766
Lincolnshire,E10000019,Upper tier local authority,16/04/2020,5,579
Liverpool,E08000012,Upper tier local authority,16/04/2020,13,1069
Manchester,E08000003,Upper tier local authority,16/04/2020,2,812
Medway,E06000035,Upper tier local authority,16/04/2020,12,459
Middlesbrough,E06000002,Upper tier local authority,16/04/2020,3,354
Newcastle upon Tyne,E08000021,Upper tier local authority,16/04/2020,12,686
Newham,E09000025,Upper tier local authority,16/04/2020,7,842
Norfolk,E10000020,Upper tier local authority,16/04/2020,33,932
North East Lincolnshire,E06000012,Upper tier local authority,16/04/2020,1,91
North Lincolnshire,E06000013,Upper tier local authority,16/04/2020,2,168
North Somerset,E06000024,Upper tier local authority,16/04/2020,2,145
North Tyneside,E08000022,Upper tier local authority,16/04/2020,9,366
North Yorkshire,E10000023,Upper tier local authority,16/04/2020,7,588
Northamptonshire,E10000021,Upper tier local authority,16/04/2020,2,820
Northumberland,E06000057,Upper tier local authority,16/04/2020,6,545
Nottingham,E06000018,Upper tier local authority,16/04/2020,1,352
Nottinghamshire,E10000024,Upper tier local authority,16/04/2020,5,803
Oldham,E08000004,Upper tier local authority,16/04/2020,12,424
Oxfordshire,E10000025,Upper tier local authority,16/04/2020,11,1111
Peterborough,E06000031,Upper tier local authority,16/04/2020,4,127
Plymouth,E06000026,Upper tier local authority,16/04/2020,4,190
Portsmouth,E06000044,Upper tier local authority,16/04/2020,5,222
Redbridge,E09000026,Upper tier local authority,16/04/2020,6,581
Redcar and Cleveland,E06000003,Upper tier local authority,16/04/2020,2,206
Rochdale,E08000005,Upper tier local authority,16/04/2020,6,310
Rotherham,E08000018,Upper tier local authority,16/04/2020,14,442
Salford,E08000006,Upper tier local authority,16/04/2020,2,414
Sandwell,E08000028,Upper tier local authority,16/04/2020,2,677
Sefton,E08000014,Upper tier local authority,16/04/2020,2,600
Sheffield,E08000019,Upper tier local authority,16/04/2020,30,1515
Shropshire,E06000051,Upper tier local authority,16/04/2020,3,305
Solihull,E08000029,Upper tier local authority,16/04/2020,2,413
Somerset,E10000027,Upper tier local authority,16/04/2020,29,310
South Gloucestershire,E06000025,Upper tier local authority,16/04/2020,5,256
South Tyneside,E08000023,Upper tier local authority,16/04/2020,3,291
Southampton,E06000045,Upper tier local authority,16/04/2020,15,327
Southwark,E09000028,Upper tier local authority,16/04/2020,5,1053
Staffordshire,E10000028,Upper tier local authority,16/04/2020,30,1151
Stockport,E08000007,Upper tier local authority,16/04/2020,3,594
Stockton-on-Tees,E06000004,Upper tier local authority,16/04/2020,1,230
Stoke-on-Trent,E06000021,Upper tier local authority,16/04/2020,12,266
Suffolk,E10000029,Upper tier local authority,16/04/2020,13,600
Sunderland,E08000024,Upper tier local authority,16/04/2020,3,797
Surrey,E10000030,Upper tier local authority,16/04/2020,2,1832
Swindon,E06000030,Upper tier local authority,16/04/2020,10,247
Tameside,E08000008,Upper tier local authority,16/04/2020,2,349
Telford and Wrekin,E06000020,Upper tier local authority,16/04/2020,1,150
Thurrock,E06000034,Upper tier local authority,16/04/2020,1,217
Tower Hamlets,E09000030,Upper tier local authority,16/04/2020,7,543
Wakefield,E08000036,Upper tier local authority,16/04/2020,3,385
Walsall,E08000030,Upper tier local authority,16/04/2020,9,653
Waltham Forest,E09000031,Upper tier local authority,16/04/2020,3,623
Wandsworth,E09000032,Upper tier local authority,16/04/2020,1,811
Warrington,E06000007,Upper tier local authority,16/04/2020,1,408
West Berkshire,E06000037,Upper tier local authority,16/04/2020,1,189
West Sussex,E10000032,Upper tier local authority,16/04/2020,8,782
Westminster,E09000033,Upper tier local authority,16/04/2020,3,544
Wigan,E08000010,Upper tier local authority,16/04/2020,3,397
Wiltshire,E06000054,Upper tier local authority,16/04/2020,19,328
Wirral,E08000015,Upper tier local authority,16/04/2020,1,727
Wolverhampton,E08000031,Upper tier local authority,16/04/2020,3,533
Worcestershire,E10000034,Upper tier local authority,16/04/2020,2,805
England,E92000001,Country,15/04/2020,2779,85862
East of England,E12000006,Region,15/04/2020,168,7139
London,E12000007,Region,15/04/2020,513,20739
North East,E12000001,Region,15/04/2020,157,5054
West Midlands,E12000005,Region,15/04/2020,281,8946
North West,E12000002,Region,15/04/2020,476,13121
East Midlands,E12000004,Region,15/04/2020,135,4873
South West,E12000009,Region,15/04/2020,198,4279
Yorkshire and The Humber,E12000003,Region,15/04/2020,247,6425
South East,E12000008,Region,15/04/2020,395,11707
Barking and Dagenham,E09000002,Upper tier local authority,15/04/2020,11,380
Barnet,E09000003,Upper tier local authority,15/04/2020,18,1046
Barnsley,E08000016,Upper tier local authority,15/04/2020,1,434
Bath and North East Somerset,E06000022,Upper tier local authority,15/04/2020,6,158
Bedford,E06000055,Upper tier local authority,15/04/2020,1,282
Bexley,E09000004,Upper tier local authority,15/04/2020,11,484
Birmingham,E08000025,Upper tier local authority,15/04/2020,57,2131
Blackburn with Darwen,E06000008,Upper tier local authority,15/04/2020,9,213
Blackpool,E06000009,Upper tier local authority,15/04/2020,13,209
Bolton,E08000001,Upper tier local authority,15/04/2020,19,506
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,15/04/2020,6,285
Bradford,E08000032,Upper tier local authority,15/04/2020,39,522
Brent,E09000005,Upper tier local authority,15/04/2020,21,1147
Brighton and Hove,E06000043,Upper tier local authority,15/04/2020,13,275
"Bristol, City of",E06000023,Upper tier local authority,15/04/2020,17,413
Bromley,E09000006,Upper tier local authority,15/04/2020,23,864
Buckinghamshire,E10000002,Upper tier local authority,15/04/2020,10,577
Bury,E08000002,Upper tier local authority,15/04/2020,24,291
Calderdale,E08000033,Upper tier local authority,15/04/2020,11,174
Cambridgeshire,E10000003,Upper tier local authority,15/04/2020,5,462
Camden,E09000007,Upper tier local authority,15/04/2020,16,485
Central Bedfordshire,E06000056,Upper tier local authority,15/04/2020,7,351
Cheshire East,E06000049,Upper tier local authority,15/04/2020,25,537
Cheshire West and Chester,E06000050,Upper tier local authority,15/04/2020,15,518
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,15/04/2020,8,358
County Durham,E06000047,Upper tier local authority,15/04/2020,34,837
Coventry,E08000026,Upper tier local authority,15/04/2020,19,487
Croydon,E09000008,Upper tier local authority,15/04/2020,34,1138
Cumbria,E10000006,Upper tier local authority,15/04/2020,28,1419
Darlington,E06000005,Upper tier local authority,15/04/2020,9,169
Derby,E06000015,Upper tier local authority,15/04/2020,7,390
Derbyshire,E10000007,Upper tier local authority,15/04/2020,27,866
Devon,E10000008,Upper tier local authority,15/04/2020,17,478
Dorset,E06000059,Upper tier local authority,15/04/2020,9,231
Dudley,E08000027,Upper tier local authority,15/04/2020,21,521
Ealing,E09000009,Upper tier local authority,15/04/2020,38,885
East Riding of Yorkshire,E06000011,Upper tier local authority,15/04/2020,20,304
East Sussex,E10000011,Upper tier local authority,15/04/2020,13,399
Enfield,E09000010,Upper tier local authority,15/04/2020,11,653
Essex,E10000012,Upper tier local authority,15/04/2020,29,1777
Gateshead,E08000037,Upper tier local authority,15/04/2020,12,531
Gloucestershire,E10000013,Upper tier local authority,15/04/2020,42,839
Greenwich,E09000011,Upper tier local authority,15/04/2020,14,547
Hackney,E09000012,Upper tier local authority,15/04/2020,12,540
Halton,E06000006,Upper tier local authority,15/04/2020,3,235
Hammersmith and Fulham,E09000013,Upper tier local authority,15/04/2020,24,440
Hampshire,E10000014,Upper tier local authority,15/04/2020,68,1940
Haringey,E09000014,Upper tier local authority,15/04/2020,14,480
Harrow,E09000015,Upper tier local authority,15/04/2020,14,740
Hartlepool,E06000001,Upper tier local authority,15/04/2020,2,81
Havering,E09000016,Upper tier local authority,15/04/2020,15,529
"Herefordshire, County of",E06000019,Upper tier local authority,15/04/2020,3,131
Hertfordshire,E10000015,Upper tier local authority,15/04/2020,34,1745
Hillingdon,E09000017,Upper tier local authority,15/04/2020,12,585
Hounslow,E09000018,Upper tier local authority,15/04/2020,12,542
Isle of Wight,E06000046,Upper tier local authority,15/04/2020,4,60
Islington,E09000019,Upper tier local authority,15/04/2020,8,358
Kensington and Chelsea,E09000020,Upper tier local authority,15/04/2020,4,394
Kent,E10000016,Upper tier local authority,15/04/2020,160,2170
"Kingston upon Hull, City of",E06000010,Upper tier local authority,15/04/2020,31,221
Kingston upon Thames,E09000021,Upper tier local authority,15/04/2020,12,348
Kirklees,E08000034,Upper tier local authority,15/04/2020,12,398
Knowsley,E08000011,Upper tier local authority,15/04/2020,22,360
Lambeth,E09000022,Upper tier local authority,15/04/2020,23,994
Lancashire,E10000017,Upper tier local authority,15/04/2020,61,1914
Leeds,E08000035,Upper tier local authority,15/04/2020,51,822
Leicester,E06000016,Upper tier local authority,15/04/2020,15,447
Leicestershire,E10000018,Upper tier local authority,15/04/2020,24,617
Lewisham,E09000023,Upper tier local authority,15/04/2020,18,757
Lincolnshire,E10000019,Upper tier local authority,15/04/2020,24,574
Liverpool,E08000012,Upper tier local authority,15/04/2020,29,1056
Luton,E06000032,Upper tier local authority,15/04/2020,5,452
Manchester,E08000003,Upper tier local authority,15/04/2020,27,810
Medway,E06000035,Upper tier local authority,15/04/2020,15,447
Merton,E09000024,Upper tier local authority,15/04/2020,8,555
Middlesbrough,E06000002,Upper tier local authority,15/04/2020,11,351
Milton Keynes,E06000042,Upper tier local authority,15/04/2020,12,361
Newcastle upon Tyne,E08000021,Upper tier local authority,15/04/2020,16,674
Newham,E09000025,Upper tier local authority,15/04/2020,17,835
Norfolk,E10000020,Upper tier local authority,15/04/2020,54,899
North Lincolnshire,E06000013,Upper tier local authority,15/04/2020,14,166
North Somerset,E06000024,Upper tier local authority,15/04/2020,8,143
North Tyneside,E08000022,Upper tier local authority,15/04/2020,11,357
North Yorkshire,E10000023,Upper tier local authority,15/04/2020,32,581
Northamptonshire,E10000021,Upper tier local authority,15/04/2020,14,818
Northumberland,E06000057,Upper tier local authority,15/04/2020,19,539
Nottingham,E06000018,Upper tier local authority,15/04/2020,9,351
Nottinghamshire,E10000024,Upper tier local authority,15/04/2020,15,798
Oldham,E08000004,Upper tier local authority,15/04/2020,24,412
Oxfordshire,E10000025,Upper tier local authority,15/04/2020,21,1100
Peterborough,E06000031,Upper tier local authority,15/04/2020,4,123
Plymouth,E06000026,Upper tier local authority,15/04/2020,11,186
Portsmouth,E06000044,Upper tier local authority,15/04/2020,12,217
Redbridge,E09000026,Upper tier local authority,15/04/2020,7,575
Redcar and Cleveland,E06000003,Upper tier local authority,15/04/2020,4,204
Richmond upon Thames,E09000027,Upper tier local authority,15/04/2020,4,311
Rochdale,E08000005,Upper tier local authority,15/04/2020,17,304
Rotherham,E08000018,Upper tier local authority,15/04/2020,1,428
Salford,E08000006,Upper tier local authority,15/04/2020,18,412
Sandwell,E08000028,Upper tier local authority,15/04/2020,15,675
Sefton,E08000014,Upper tier local authority,15/04/2020,19,598
Sheffield,E08000019,Upper tier local authority,15/04/2020,11,1485
Shropshire,E06000051,Upper tier local authority,15/04/2020,10,302
Slough,E06000039,Upper tier local authority,15/04/2020,1,272
Solihull,E08000029,Upper tier local authority,15/04/2020,15,411
Somerset,E10000027,Upper tier local authority,15/04/2020,17,281
South Gloucestershire,E06000025,Upper tier local authority,15/04/2020,19,251
South Tyneside,E08000023,Upper tier local authority,15/04/2020,8,288
Southampton,E06000045,Upper tier local authority,15/04/2020,10,312
Southend-on-Sea,E06000033,Upper tier local authority,15/04/2020,1,245
Southwark,E09000028,Upper tier local authority,15/04/2020,20,1048
St. Helens,E08000013,Upper tier local authority,15/04/2020,19,431
Staffordshire,E10000028,Upper tier local authority,15/04/2020,46,1121
Stockport,E08000007,Upper tier local authority,15/04/2020,24,591
Stockton-on-Tees,E06000004,Upper tier local authority,15/04/2020,6,229
Stoke-on-Trent,E06000021,Upper tier local authority,15/04/2020,15,254
Suffolk,E10000029,Upper tier local authority,15/04/2020,28,587
Sunderland,E08000024,Upper tier local authority,15/04/2020,25,794
Surrey,E10000030,Upper tier local authority,15/04/2020,30,1830
Sutton,E09000029,Upper tier local authority,15/04/2020,24,559
Swindon,E06000030,Upper tier local authority,15/04/2020,11,237
Tameside,E08000008,Upper tier local authority,15/04/2020,12,347
Telford and Wrekin,E06000020,Upper tier local authority,15/04/2020,5,149
Torbay,E06000027,Upper tier local authority,15/04/2020,3,110
Tower Hamlets,E09000030,Upper tier local authority,15/04/2020,11,536
Trafford,E08000009,Upper tier local authority,15/04/2020,7,431
Wakefield,E08000036,Upper tier local authority,15/04/2020,17,382
Walsall,E08000030,Upper tier local authority,15/04/2020,17,644
Waltham Forest,E09000031,Upper tier local authority,15/04/2020,24,620
Wandsworth,E09000032,Upper tier local authority,15/04/2020,18,810
Warrington,E06000007,Upper tier local authority,15/04/2020,10,407
Warwickshire,E10000031,Upper tier local authority,15/04/2020,21,787
West Berkshire,E06000037,Upper tier local authority,15/04/2020,2,188
West Sussex,E10000032,Upper tier local authority,15/04/2020,22,774
Westminster,E09000033,Upper tier local authority,15/04/2020,15,541
Wigan,E08000010,Upper tier local authority,15/04/2020,20,394
Wiltshire,E06000054,Upper tier local authority,15/04/2020,24,309
Windsor and Maidenhead,E06000040,Upper tier local authority,15/04/2020,1,168
Wirral,E08000015,Upper tier local authority,15/04/2020,31,726
